userid,score,city,gender,age,equity,balance,products,credit_card,last_activity,salary,churn
258835,838.0,Ростов,Ж,32,1,377652.29,2,0,1,105665.06,1
96660,845.0,Ростов,Ж,31,3,214980.98,5,0,1,62058.62,0
99838,869.0,Ростов,Ж,30,4,467040.46,2,1,1,156945.23,1
216099,856.0,Рыбинск,Ж,25,4,475727.88,4,0,1,19502.68,0
120240,873.0,Рыбинск,Ж,37,3,1350858.4,4,0,1,119804.41,0
164236,873.0,Ростов,Ж,32,4,488164.27,2,0,1,166867.58,1
206645,898.0,Рыбинск,Ж,41,5,572927.93,4,1,1,76930.63,1
147104,896.0,Ростов,Ж,39,5,1375658.47,4,1,0,165525.1,1
260982,877.0,Ярославль,Ж,32,5,876843.01,2,1,1,120587.59,1
158967,851.0,Ярославль,Ж,35,9,603594.6,4,1,1,98479.59,0
141557,862.0,Рыбинск,Ж,47,4,563250.35,4,0,1,143967.36,0
176133,858.0,Ростов,Ж,54,3,1196306.3,2,0,1,64610.88,1
21678,894.0,Рыбинск,Ж,28,4,755344.01,2,0,1,99019.39,1
226441,846.0,Ростов,Ж,50,5,1151515.69,2,0,1,113868.71,1
195871,862.0,Ярославль,Ж,33,4,505417.28,2,0,1,92034.54,1
141573,890.0,Ростов,Ж,26,4,511311.08,2,0,1,52021.72,1
94019,853.0,Рыбинск,Ж,31,3,210193.48,2,0,1,48865.1,1
75890,880.0,Ярославль,Ж,34,5,956027.03,2,0,1,136108.13,1
238561,869.0,Ростов,М,18,1,8155.48,2,1,1,52499.14,1
150689,890.0,Ярославль,Ж,44,6,630229.25,2,0,1,136131.05,1
185469,823.0,Ярославль,Ж,41,2,139576.56,5,1,1,146201.01,0
150713,980.0,Ярославль,Ж,35,6,1813817.4,2,1,1,1130928.15,1
71173,828.0,Ярославль,Ж,34,2,523685.55,2,0,1,157665.23,1
167498,853.0,Ростов,Ж,33,5,1105512.22,2,0,1,82039.64,1
86872,852.0,Ростов,Ж,41,1,401917.65,2,1,1,164136.99,1
53696,900.0,Рыбинск,Ж,29,5,1023521.28,2,0,1,130918.78,1
24061,959.0,Ярославль,Ж,58,5,5746832.81,4,1,0,245432.73,1
138447,903.0,Ярославль,Ж,32,2,1777103.47,2,1,1,169024.67,1
180725,922.0,Ярославль,Ж,58,5,2895130.39,2,0,1,205253.49,1
260997,837.0,Ярославль,Ж,29,3,385371.75,2,0,1,63549.94,1
242241,869.0,Ярославль,Ж,33,3,831172.11,2,0,1,70107.85,1
216819,867.0,Рыбинск,М,25,0,62154.53,2,1,1,84397.3,1
254015,905.0,Рыбинск,Ж,52,4,1865243.66,2,0,1,168942.81,1
241227,929.0,Ростов,Ж,32,6,1094677.62,2,1,1,118243.73,1
96040,885.0,Ярославль,Ж,34,4,2302962.61,2,0,1,203104.19,1
177321,883.0,Ярославль,Ж,55,1,362756.49,2,0,1,175920.48,1
148875,877.0,Ярославль,Ж,37,6,661468.98,4,1,1,92090.84,0
72161,935.0,Ростов,М,36,4,2564227.89,2,0,0,213955.17,1
207425,870.0,Ростов,М,26,3,649854.52,2,1,1,99344.65,1
208670,849.0,Ярославль,Ж,27,3,153037.03,2,0,1,62453.95,1
190348,912.0,Ярославль,Ж,32,6,1374695.43,4,1,1,207017.89,1
113996,867.0,Рыбинск,М,37,3,1702695.38,2,0,1,173507.64,1
89354,835.0,Ярославль,Ж,43,3,292695.29,2,1,1,165998.76,1
