posting_item_id,posting_id,order_id,pickup_point_id,fulfilment_channel,handover_date,event_type,record_status,item_value,item_commission
I00183037,O0048298-B1,O0048298,P00748,warehouse,2026-02-18,handover,final,0.99,0.0544
I00093735,O0024663-B1,O0024663,P00400,warehouse,2026-02-01,handover,final,2.9,0.1595
I00033589,O0008868-B2,O0008868,P00682,warehouse,2026-02-21,handover,final,0.99,0.0544
I00200333,O0052836-B1,O0052836,P00132,warehouse,2026-02-22,handover,final,2.51,0.138
I00115209,O0030309-B1,O0030309,P00054,cross_border,2026-02-28,handover,final,0.99,0.0544
I00162353,O0042841-B2,O0042841,P00156,cross_border,2026-02-23,handover,final,19.8,1.089
I00103261,O0027104-B1,O0027104,P00020,warehouse,2026-02-28,handover,final,3.05,0.1677
I00179598,O0047418-B1,O0047418,P00759,warehouse,2026-02-20,handover,final,3.87,0.2128
I00034389,O0009093-B2,O0009093,P00533,warehouse,2026-02-17,handover,final,41.63,2.2896
I00150674,O0039764-B1,O0039764,P00582,warehouse,2026-02-03,handover,final,2.19,0.1204
I00105581,O0027730-B1,O0027730,P00320,cross_border,2026-02-10,handover,final,0.99,0.0544
I00162345,O0042839-B1,O0042839,P00815,cross_border,2026-02-13,handover,final,0.99,0.0544
R00008461,O0002222-B2,O0002222,P00568,warehouse,2026-02-16,handover_return,final,-3.9,-0.2145
I00080577,O0021248-B1,O0021248,P00093,warehouse,2026-02-18,handover,final,2.24,0.1232
I00051831,O0013650-B1,O0013650,P00383,warehouse,2026-02-05,handover,final,1.19,0.0654
I00108206,O0028438-B1,O0028438,P00485,warehouse,2026-02-14,handover,final,0.99,0.0544
I00170656,O0045001-B1,O0045001,P00770,warehouse,2026-02-11,handover,final,0.99,0.0544
X00052457,O9013820-B1,O0013820,P00266,warehouse,2026-02-21,handover_return,final,-11.37,-0.6254
I00035882,O0009501-B1,O0009501,P00640,retail,2026-02-23,handover,final,9.43,0.5186
I00187944,O0049576-B1,O0049576,P00708,warehouse,2026-02-10,handover,final,0.99,0.0544
I00198005,O0052212-B1,O0052212,P00384,warehouse,2026-02-10,handover,final,20.09,1.105
I00141034,O0037185-B1,O0037185,P00475,merchant_shipped,2026-02-21,handover,final,6.57,0.3614
I00115052,O0030264-B1,O0030264,P00056,warehouse,2026-02-11,handover,final,0.99,0.0544
I00080908,O0021337-B1,O0021337,P00065,warehouse,2026-02-08,handover,final,0.99,0.0544
I00134696,O0035495-B1,O0035495,P00363,warehouse,2026-02-24,handover,final,6.63,0.3646
I00041101,O0010851-B1,O0010851,P00264,warehouse,2026-02-14,handover,final,0.99,0.0544
I00200722,O0052939-B1,O0052939,P00737,warehouse,2026-02-21,handover,final,7.84,0.4312
I00097375,O0025614-B1,O0025614,P00189,retail,2026-02-20,handover,final,16.12,0.8866
I00226803,O0059872-B1,O0059872,P00181,warehouse,2026-02-12,handover,final,0.99,0.0544
I00159612,O0042099-B1,O0042099,P00085,warehouse,2026-02-20,handover,final,0.99,0.0544
I00084668,O0022310-B1,O0022310,P00356,warehouse,2026-02-06,handover,final,1.9,0.1045
I00156524,O0041300-B1,O0041300,P00659,warehouse,2026-02-12,handover,final,0.99,0.0544
I00136485,O0035952-B1,O0035952,P00351,warehouse,2026-02-19,handover,final,0.99,0.0544
I00107116,O0028154-B1,O0028154,P00779,warehouse,2026-02-18,handover,final,14.87,0.8178
I00214848,O0056623-B1,O0056623,P00079,warehouse,2026-02-09,handover,final,7.48,0.4114
I00003439,O0000896-B1,O0000896,P00348,warehouse,2026-02-04,handover,final,3.0,0.165
I00136179,O0035875-B2,O0035875,P00388,warehouse,2026-02-21,handover,final,0.99,0.0544
I00200871,O0052979-B1,O0052979,P00498,warehouse,2026-02-19,handover,final,0.99,0.0544
R00161020,O0042486-B2,O0042486,P00199,warehouse,2026-02-10,handover_return,final,-3.44,-0.1892
I00189321,O0049916-B1,O0049916,P00038,warehouse,2026-02-06,handover,final,20.45,1.1248
R00120947,O0031828-B1,O0031828,P00493,warehouse,2026-02-07,handover_return,final,-0.99,-0.0544
I00116575,O0030666-B2,O0030666,P00606,cross_border,2026-02-18,handover,final,4.37,0.2404
I00006991,O0001820-B1,O0001820,P00501,retail,2026-02-26,handover,final,0.99,0.0544
I00211711,O0055785-B1,O0055785,P00534,warehouse,2026-02-11,handover,final,1.18,0.0649
I00049239,O0012997-B1,O0012997,P00575,warehouse,2026-02-16,handover,final,0.99,0.0544
I00028986,O0007648-B2,O0007648,P00276,warehouse,2026-02-13,handover,final,11.91,0.655
R00157841,O0041662-B1,O0041662,P00783,warehouse,2026-02-25,handover_return,final,-1.01,-0.0556
I00090381,O0023767-B1,O0023767,P00061,warehouse,2026-02-15,handover,final,3.31,0.1821
I00021117,O0005580-B1,O0005580,P00128,warehouse,2026-02-11,handover,final,7.51,0.413
I00203257,O0053590-B1,O0053590,P00048,warehouse,2026-02-14,handover,final,0.99,0.0544
I00188453,O0049703-B2,O0049703,P00195,warehouse,2026-02-19,handover,final,7.02,0.3861
I00187294,O0049388-B2,O0049388,P00339,warehouse,2026-02-25,handover,final,0.99,0.0544
I00191155,O0050406-B2,O0050406,P00025,warehouse,2026-02-03,handover,final,1.71,0.094
I00207913,O0054818-B1,O0054818,P00662,warehouse,2026-02-02,handover,final,1.58,0.0869
I00094070,O0024750-B2,O0024750,P00162,warehouse,2026-02-04,handover,final,1.7,0.0935
I00100245,O0026367-B1,O0026367,P00008,merchant_shipped,2026-02-08,handover,final,6.26,0.3443
I00063827,O0016787-B1,O0016787,P00616,warehouse,2026-02-27,handover,final,2.39,0.1314
I00073235,O0019321-B1,O0019321,P00132,warehouse,2026-02-08,handover,final,0.99,0.0544
I00121990,O0032092-B1,O0032092,P00059,merchant_shipped,2026-02-22,handover,final,7.96,0.4378
I00163275,O0043072-B1,O0043072,P00461,warehouse,2026-02-25,handover,final,0.99,0.0544
I00035817,O0009476-B1,O0009476,P00760,warehouse,2026-02-22,handover,final,3.32,0.1826
I00184233,O0048590-B1,O0048590,P00069,retail,2026-02-15,handover,final,2.66,0.1463
I00192953,O0050892-B1,O0050892,P00845,warehouse,2026-02-19,handover,final,4.43,0.2436
I00182290,O0048105-B1,O0048105,P00326,warehouse,2026-02-19,handover,final,23.9,1.3145
I00050597,O0013340-B1,O0013340,P00048,merchant_shipped,2026-02-26,handover,final,58.09,2.5
I00059730,O0015745-B1,O0015745,P00570,warehouse,2026-02-12,handover,final,26.8,1.474
I00110202,O0028966-B1,O0028966,P00656,warehouse,2026-02-20,handover,final,1.38,0.0759
I00205225,O0054115-B2,O0054115,P00252,warehouse,2026-02-19,handover,final,0.99,0.0544
I00187160,O0049345-B1,O0049345,P00198,cross_border,2026-02-02,handover,final,11.83,0.6507
I00111454,O0029309-B1,O0029309,P00565,warehouse,2026-02-23,handover,final,0.99,0.0544
I00116120,O0030546-B1,O0030546,P00381,merchant_shipped,2026-02-09,handover,final,1.6,0.088
I00020989,O0005542-B2,O0005542,P00404,warehouse,2026-02-05,handover,final,7.49,0.412
I00190723,O0050280-B1,O0050280,P00207,merchant_shipped,2026-02-13,handover,final,6.41,0.3526
I00178241,O0047065-B1,O0047065,P00447,cross_border,2026-02-22,handover,final,11.41,0.6276
I00016917,O0004462-B1,O0004462,P00503,cross_border,2026-02-26,handover,final,5.32,0.2926
I00205560,O0054209-B1,O0054209,P00586,merchant_shipped,2026-02-02,handover,final,49.87,2.5
I00007239,O0001890-B1,O0001890,P00286,warehouse,2026-02-13,handover,final,1.32,0.0726
I00057370,O0015132-B1,O0015132,P00687,warehouse,2026-02-21,handover,final,2.61,0.1435
I00012124,O0003189-B1,O0003189,P00346,warehouse,2026-02-17,handover,final,1.63,0.0896
I00016706,O0004400-B1,O0004400,P00798,warehouse,2026-02-05,handover,final,1.66,0.0913
I00134911,O0035539-B1,O0035539,P00832,warehouse,2026-02-26,handover,final,0.99,0.0544
I00011114,O0002907-B1,O0002907,P00768,warehouse,2026-02-02,handover,final,5.55,0.3052
I00160279,O0042280-B1,O0042280,P00339,warehouse,2026-02-23,handover,final,14.03,0.7716
I00105552,O0027722-B1,O0027722,P00578,warehouse,2026-02-16,handover,final,2.22,0.1221
I00082111,O0021658-B1,O0021658,P00552,warehouse,2026-02-13,handover,final,1.77,0.0974
I00190677,O0050265-B1,O0050265,P00244,warehouse,2026-02-03,handover,final,4.16,0.2288
I00211348,O0055696-B1,O0055696,P00031,warehouse,2026-02-01,handover,final,1.5,0.0825
I00161938,O0042735-B1,O0042735,P00003,warehouse,2026-02-20,handover,final,2.14,0.1177
I00086402,O0022756-B1,O0022756,P00274,warehouse,2026-02-06,handover,final,0.99,0.0544
I00203285,O0053600-B1,O0053600,P00607,warehouse,2026-02-01,handover,final,0.99,0.0544
I00177603,O0046881-B2,O0046881,P00401,warehouse,2026-02-24,handover,final,0.99,0.0544
I00127193,O0033486-B2,O0033486,P00456,warehouse,2026-02-07,handover,final,0.99,0.0544
I00106723,O0028039-B1,O0028039,P00150,warehouse,2026-02-19,handover,final,0.99,0.0544
I00169609,O0044727-B1,O0044727,P00451,warehouse,2026-02-07,handover,final,0.99,0.0544
I00086436,O0022769-B2,O0022769,P00439,warehouse,2026-02-16,handover,final,4.67,0.2568
I00137627,O0036268-B1,O0036268,P00232,warehouse,2026-02-28,handover,final,1.05,0.0578
I00091995,O0024193-B1,O0024193,P00181,merchant_shipped,2026-02-02,handover,final,1.72,0.0946
I00020937,O0005529-B2,O0005529,P00449,warehouse,2026-02-09,handover,final,8.94,0.4917
I00144976,O0038197-B2,O0038197,P00748,warehouse,2026-02-18,handover,final,5.71,0.314
I00060764,O0015998-B1,O0015998,P00272,warehouse,2026-02-13,handover,final,8.1,0.4455
I00059127,O0015582-B1,O0015582,P00104,retail,2026-02-20,handover,final,7.57,0.4164
I00023006,O0006094-B2,O0006094,P00657,warehouse,2026-02-14,handover,final,1.26,0.0693
I00020106,O0005306-B1,O0005306,P00364,warehouse,2026-02-07,handover,final,0.99,0.0544
I00029731,O0007851-B1,O0007851,P00815,retail,2026-02-16,handover,final,7.55,0.4152
I00183217,O0048338-B1,O0048338,P00449,merchant_shipped,2026-02-20,handover,final,1.93,0.1062
I00166405,O0043869-B1,O0043869,P00043,warehouse,2026-02-03,handover,final,0.99,0.0544
I00069095,O0018191-B1,O0018191,P00020,warehouse,2026-02-02,handover,final,2.15,0.1182
I00202492,O0053389-B1,O0053389,P00261,warehouse,2026-02-14,handover,final,0.99,0.0544
I00120623,O0031744-B1,O0031744,P00102,warehouse,2026-02-04,handover,final,2.8,0.154
I00170828,O0045044-B2,O0045044,P00848,warehouse,2026-03-01,handover,final,12.04,0.6622
I00190220,O0050150-B1,O0050150,P00072,warehouse,2026-02-16,handover,final,0.99,0.0544
I00184693,O0048708-B1,O0048708,P00572,retail,2026-02-16,handover,final,6.68,0.3674
I00207251,O0054645-B2,O0054645,P00563,cross_border,2026-02-16,handover,final,1.33,0.0732
C00097846,O0025737-B2,O0025737,P00536,warehouse,2026-02-25,handover,corrected,2.45,0.1348
I00082384,O0021727-B1,O0021727,P00124,cross_border,2026-02-24,handover,final,8.68,0.4774
I00117837,O0031028-B2,O0031028,P00655,warehouse,2026-02-27,handover,final,4.19,0.2304
I00165610,O0043657-B2,O0043657,P00741,warehouse,2026-02-06,handover,final,2.33,0.1282
I00020041,O0005289-B1,O0005289,P00139,merchant_shipped,2026-02-11,handover,final,5.39,0.2964
I00055151,O0014530-B1,O0014530,P00404,warehouse,2026-02-06,handover,final,7.51,0.413
I00029243,O0007718-B1,O0007718,P00462,warehouse,2026-02-02,handover,final,0.99,0.0544
I00072932,O0019237-B1,O0019237,P00330,warehouse,2026-02-09,handover,final,3.27,0.1798
I00017540,O0004622-B1,O0004622,P00708,warehouse,2026-02-20,handover,final,0.99,0.0544
I00096334,O0025349-B1,O0025349,P00106,retail,2026-02-04,handover,final,5.05,0.2778
I00095564,O0025152-B1,O0025152,P00516,warehouse,2026-02-16,handover,final,13.34,0.7337
I00175476,O0046293-B1,O0046293,P00547,warehouse,2026-02-09,handover,final,5.23,0.2876
I00047115,O0012418-B1,O0012418,P00112,warehouse,2026-02-04,handover,final,1.01,0.0556
I00105911,O0027820-B2,O0027820,P00571,warehouse,2026-02-27,handover,final,5.59,0.3074
I00077926,O0020545-B1,O0020545,P00556,warehouse,2026-02-16,handover,final,3.49,0.192
I00100101,O0026323-B1,O0026323,P00397,merchant_shipped,2026-02-28,handover,final,6.91,0.38
I00159863,O0042169-B1,O0042169,P00813,warehouse,2026-02-03,handover,final,1.96,0.1078
I00198006,O0052213-B1,O0052213,P00395,warehouse,2026-02-23,handover,final,0.99,0.0544
I00161060,O0042496-B1,O0042496,P00224,warehouse,2026-02-21,handover,final,0.99,0.0544
I00042524,O0011217-B1,O0011217,P00468,warehouse,2026-02-16,handover,final,3.67,0.2018
I00093646,O0024638-B1,O0024638,P00695,warehouse,2026-02-13,handover,final,27.16,1.4938
I00090065,O0023689-B1,O0023689,P00757,merchant_shipped,2026-02-10,handover,final,3.26,0.1793
I00214632,O0056568-B1,O0056568,P00466,cross_border,2026-02-10,handover,final,13.4,0.737
I00031004,O0008183-B1,O0008183,P00835,warehouse,2026-02-08,handover,final,3.3,0.1815
I00002622,O0000690-B2,O0000690,P00840,warehouse,2026-02-24,handover,final,0.99,0.0544
I00117671,O0030974-B1,O0030974,P00221,warehouse,2026-02-10,handover,final,3.31,0.1821
I00080056,O0021114-B1,O0021114,P00695,warehouse,2026-02-20,handover,final,23.19,1.2754
I00137860,O0036333-B1,O0036333,P00002,cross_border,2026-02-05,handover,final,17.35,0.9542
I00066937,O0017612-B2,O0017612,P00108,warehouse,2026-02-27,handover,final,6.01,0.3306
I00196430,O0051809-B1,O0051809,P00527,warehouse,2026-02-17,handover,final,22.42,1.2331
R00143147,O0037720-B2,O0037720,P00747,warehouse,2026-02-09,handover_return,final,-1.92,-0.1056
I00043457,O0011451-B1,O0011451,P00706,warehouse,2026-02-02,handover,final,0.99,0.0544
I00144355,O0038033-B1,O0038033,P00007,warehouse,2026-02-25,handover,final,0.99,0.0544
I00204699,O0053984-B1,O0053984,P00475,warehouse,2026-02-23,handover,final,1.59,0.0874
I00087965,O0023152-B1,O0023152,P00580,warehouse,2026-02-05,handover,final,0.99,0.0544
I00055556,O0014650-B1,O0014650,P00297,warehouse,2026-02-19,handover,final,0.99,0.0544
I00204161,O0053842-B1,O0053842,P00579,warehouse,2026-02-28,handover,final,1.04,0.0572
I00024318,O0006426-B3,O0006426,P00107,warehouse,2026-02-14,handover,final,3.29,0.181
I00014733,O0003871-B2,O0003871,P00418,warehouse,2026-02-04,handover,final,0.99,0.0544
I00163295,O0043076-B2,O0043076,P00233,warehouse,2026-02-28,handover,final,4.72,0.2596
C00020032,O0005287-B2,O0005287,P00277,warehouse,2026-02-24,handover,corrected,1.15,0.0632
I00195976,O0051701-B1,O0051701,P00483,warehouse,2026-02-03,handover,final,2.55,0.1402
I00003129,O0000813-B1,O0000813,P00788,warehouse,2026-02-16,handover,final,1.52,0.0836
I00038117,O0010084-B1,O0010084,P00220,warehouse,2026-02-11,handover,final,1.1,0.0605
I00113386,O0029826-B3,O0029826,P00009,warehouse,2026-02-25,handover,final,3.36,0.1848
I00050300,O0013272-B1,O0013272,P00563,warehouse,2026-02-10,handover,final,2.24,0.1232
I00087092,O0022936-B1,O0022936,P00671,warehouse,2026-02-03,handover,final,2.33,0.1282
I00073959,O0019510-B2,O0019510,P00737,warehouse,2026-02-11,handover,final,1.41,0.0775
R00119419,O0031445-B1,O0031445,P00249,warehouse,2026-02-27,handover_return,final,-0.99,-0.0544
I00126031,O0033171-B2,O0033171,P00236,warehouse,2026-02-10,handover,final,2.97,0.1634
R00169179,O0044605-B1,O0044605,P00287,warehouse,2026-02-27,handover_return,final,-1.67,-0.0918
I00032529,O0008574-B1,O0008574,P00325,warehouse,2026-02-17,handover,final,2.69,0.148
I00202759,O0053457-B1,O0053457,P00073,warehouse,2026-02-16,handover,final,10.75,0.5913
I00105230,O0027645-B1,O0027645,P00173,warehouse,2026-02-25,handover,final,0.99,0.0544
I00130249,O0034306-B1,O0034306,P00342,merchant_shipped,2026-02-04,handover,final,1.51,0.083
I00100836,O0026509-B1,O0026509,P00236,warehouse,2026-02-28,handover,final,0.99,0.0544
I00105904,O0027817-B1,O0027817,P00237,warehouse,2026-02-22,handover,final,5.74,0.3157
I00131587,O0034648-B1,O0034648,P00634,merchant_shipped,2026-02-09,handover,final,5.55,0.3052
I00126333,O0033241-B1,O0033241,P00422,retail,2026-02-03,handover,final,0.99,0.0544
I00042472,O0011204-B1,O0011204,P00433,warehouse,2026-02-10,handover,final,1.62,0.0891
I00179062,O0047276-B1,O0047276,P00365,warehouse,2026-02-28,handover,final,5.1,0.2805
I00175478,O0046294-B1,O0046294,P00345,warehouse,2026-02-28,handover,final,4.16,0.2288
I00214322,O0056484-B1,O0056484,P00646,warehouse,2026-02-27,handover,final,0.99,0.0544
I00214051,O0056414-B3,O0056414,P00037,warehouse,2026-03-01,handover,final,2.9,0.1595
I00141728,O0037360-B1,O0037360,P00676,warehouse,2026-02-08,handover,final,16.24,0.8932
I00192338,O0050719-B1,O0050719,P00707,warehouse,2026-02-25,handover,final,2.15,0.1182
I00126954,O0033421-B1,O0033421,P00015,warehouse,2026-02-17,handover,final,0.99,0.0544
I00212141,O0055901-B1,O0055901,P00597,warehouse,2026-02-16,handover,final,3.33,0.1832
I00089541,O0023562-B2,O0023562,P00387,warehouse,2026-02-18,handover,final,1.53,0.0842
I00003117,O0000812-B1,O0000812,P00060,warehouse,2026-02-02,handover,final,2.2,0.121
I00110499,O0029053-B1,O0029053,P00452,retail,2026-02-03,handover,final,0.99,0.0544
I00204403,O0053903-B1,O0053903,P00849,warehouse,2026-02-18,handover,final,7.26,0.3993
I00151407,O0039949-B1,O0039949,P00255,warehouse,2026-02-15,handover,final,6.65,0.3658
I00098245,O0025839-B1,O0025839,P00531,cross_border,2026-02-09,handover,final,7.78,0.4279
I00000555,O0000146-B1,O0000146,P00588,warehouse,2026-02-28,handover,final,1.23,0.0676
I00006814,O0001774-B1,O0001774,P00386,warehouse,2026-02-02,handover,final,4.27,0.2348
I00100105,O0026324-B2,O0026324,P00335,warehouse,2026-02-24,handover,final,0.99,0.0544
I00035343,O0009362-B1,O0009362,P00583,warehouse,2026-02-24,handover,final,0.99,0.0544
I00068307,O0017991-B1,O0017991,P00238,merchant_shipped,2026-02-26,handover,final,13.36,0.7348
I00103004,O0027039-B2,O0027039,P00585,warehouse,2026-03-03,handover,final,17.08,0.9394
I00210538,O0055465-B1,O0055465,P00481,warehouse,2026-02-07,handover,final,2.76,0.1518
I00154850,O0040855-B1,O0040855,P00458,warehouse,2026-02-15,handover,final,0.99,0.0544
I00080361,O0021191-B1,O0021191,P00682,warehouse,2026-02-06,handover,final,5.4,0.297
I00079461,O0020960-B1,O0020960,P00486,warehouse,2026-02-08,handover,final,2.37,0.1304
I00213492,O0056264-B2,O0056264,P00352,cross_border,2026-02-23,handover,final,1.1,0.0605
I00003200,O0000831-B1,O0000831,P00225,warehouse,2026-02-01,handover,final,0.99,0.0544
I00112990,O0029709-B1,O0029709,P00692,warehouse,2026-02-18,handover,final,2.68,0.1474
I00020253,O0005343-B1,O0005343,P00651,retail,2026-02-16,handover,final,0.99,0.0544
I00085616,O0022548-B2,O0022548,P00606,warehouse,2026-02-21,handover,final,11.4,0.627
I00057549,O0015177-B1,O0015177,P00640,warehouse,2026-02-02,handover,final,2.34,0.1287
I00226596,O0059820-B1,O0059820,P00019,warehouse,2026-02-10,handover,final,0.99,0.0544
I00152430,O0040223-B1,O0040223,P00133,merchant_shipped,2026-02-23,handover,final,7.98,0.4389
I00005929,O0001548-B2,O0001548,P00794,warehouse,2026-02-10,handover,final,0.99,0.0544
I00174637,O0046066-B1,O0046066,P00473,warehouse,2026-02-15,handover,final,1.22,0.0671
I00183695,O0048456-B1,O0048456,P00182,warehouse,2026-02-09,handover,final,1.1,0.0605
I00014766,O0003881-B1,O0003881,P00359,warehouse,2026-02-10,handover,final,1.49,0.082
I00220506,O0058141-B1,O0058141,P00681,warehouse,2026-02-16,handover,final,6.37,0.3504
I00108724,O0028568-B1,O0028568,P00742,cross_border,2026-02-12,handover,final,2.33,0.1282
I00225297,O0059477-B1,O0059477,P00695,warehouse,2026-02-27,handover,final,0.99,0.0544
I00183002,O0048289-B1,O0048289,P00032,warehouse,2026-02-08,handover,final,1.24,0.0682
I00052609,O0013861-B1,O0013861,P00504,warehouse,2026-02-20,handover,final,1.88,0.1034
I00024681,O0006523-B1,O0006523,P00630,warehouse,2026-02-25,handover,final,2.8,0.154
R00155054,O0040906-B3,O0040906,P00582,warehouse,2026-02-20,handover_return,final,-2.79,-0.1534
I00035634,O0009432-B2,O0009432,P00566,warehouse,2026-02-28,handover,final,0.99,0.0544
I00044846,O0011842-B1,O0011842,P00098,warehouse,2026-02-22,handover,final,1.99,0.1094
I00166402,O0043867-B1,O0043867,P00011,warehouse,2026-02-22,handover,final,0.99,0.0544
